------------------------------------------------------------------------------------------------------------
Test id: 1
Note: This are the results from a SINGLE observation using the following values
Compensation: 0.0€
OC probability: 1%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 33  | 10      4    | 25     6      13   | 307      255      487  | 40,0    6,0      644,0 | 10       13   |
 34  | 11      21   | 5      5      10   | 312      260      497  | 5,0     5,0      654,0 | 11       24   |
 35  | 11      12   | 3      8      17   | 315      268      514  | 3,0     8,0      665,0 | 11       19   |
 36  | 18      23   | 1      10     16   | 316      278      530  | 1,0     10,0     676,0 | 18       26   |
 37  | 5       13   | 7      11     20   | 323      289      550  | 7,0     11,0     694,0 | 5        19   |
 38  | 15      16   | 0      5      15   | 323      294      565  | 0,0     5,0      699,0 | 15       20   |
 39  | 21      22   | 7      8      14   | 330      302      579  | 7,0     8,0      714,0 | 21       28   |
 40  | 6       11   | 12     9      16   | 342      311      595  | 14,0    9,0      737,0 | 6        23   |
 41  | 13      11   | 0      6      23   | 342      317      618  | 0,0     6,0      743,0 | 13       11   |
 42  | 16      16   | 8      5      8    | 350      322      626  | 8,0     5,0      756,0 | 16       19   |
 43  | 20      27   | 6      10     15   | 356      332      641  | 6,0     10,0     772,0 | 20       31   |
 44  | 15      19   | 8      12     22   | 364      344      663  | 8,0     12,0     792,0 | 15       28   |
 45  | 24      23   | 6      9      20   | 370      353      683  | 6,0     9,0      807,0 | 24       31   |
 46  | 20      19   | 8      16     23   | 378      369      706  | 8,0     16,0     831,0 | 20       27   |
 47  | 6       4    | 10     10     20   | 388      379      726  | 10,0    10,0     851,0 | 6        11   |
 48  | 12      19   | 4      2      5    | 392      381      731  | 4,0     2,0      857,0 | 12       25   |
 49  | 15      15   | 1      11     19   | 393      392      750  | 1,0     11,0     869,0 | 15       21   |
 50  | 8       4    | 10     5      17   | 403      397      767  | 10,0    5,0      884,0 | 8        8    |
 51  | 18      17   | 5      3      6    | 408      400      773  | 5,0     3,0      892,0 | 18       19   |
 52  | 16      15   | 11     7      11   | 419      407      784  | 12,0    7,0      911,0 | 16       23   |
 53  | 20      23   | 6      10     20   | 425      417      804  | 6,0     10,0     927,0 | 20       26   |
 54  | 16      21   | 16     4      18   | 441      421      822  | 22,0    4,0      953,0 | 16       29   |
 55  | 29      19   | 7      9      18   | 448      430      840  | 7,0     9,0      969,0 | 29       30   |
 56  | 23      23   | 22     7      18   | 470      437      858  | 34,0    7,0     1010,0 | 23       35   |
 57  | 14      10   | 9      14     25   | 479      451      883  | 9,0     14,0    1033,0 | 14       20   |
 58  | 15      9    | 8      6      14   | 487      457      897  | 8,0     6,0     1047,0 | 15       15   |
 59  | 18      25   | 9      6      11   | 496      463      908  | 9,0     6,0     1062,0 | 18       29   |
 60  | 11      14   | 7      11     20   | 503      474      928  | 7,0     11,0    1080,0 | 11       23   |
 61  | 11      7    | 1      10     17   | 504      484      945  | 1,0     10,0    1091,0 | 11       13   |
 62  | 16      14   | 3      8      11   | 507      492      956  | 3,0     8,0     1102,0 | 16       16   |
 63  | 9       8    | 7      9      14   | 514      501      970  | 7,0     9,0     1118,0 | 9        10   |
 64  | 19      23   | 4      5      8    | 518      506      978  | 4,0     5,0     1127,0 | 19       25   |
 65  | 11      5    | 8      11     20   | 526      517      998  | 8,0     11,0    1146,0 | 11       10   |
 66  | 23      22   | 9      2      7    | 535      519      1005 | 9,0     2,0     1157,0 | 23       25   |
 67  | 12      13   | 12     11     18   | 547      530      1023 | 14,0    11,0    1182,0 | 12       20   |
 68  | 13      19   | 2      10     15   | 549      540      1038 | 2,0     10,0    1194,0 | 13       24   |
 69  | 12      10   | 5      8      20   | 554      548      1058 | 5,0     8,0     1207,0 | 12       14   |
 70  | 15      14   | 5      7      10   | 559      555      1068 | 5,0     7,0     1219,0 | 15       18   |
 71  | 19      17   | 11     4      12   | 570      559      1080 | 12,0    4,0     1235,0 | 19       23   |
 72  | 13      19   | 7      12     20   | 577      571      1100 | 7,0     12,0    1254,0 | 13       22   |
 73  | 24      22   | 4      9      19   | 581      580      1119 | 4,0     9,0     1267,0 | 24       25   |
 74  | 21      15   | 18     6      15   | 599      586      1134 | 26,0    6,0     1299,0 | 21       25   |
 75  | 7       8    | 10     11     20   | 609      597      1154 | 10,0    11,0    1320,0 | 7        13   |
 76  | 16      22   | 3      4      9    | 612      601      1163 | 3,0     4,0     1327,0 | 16       26   |
 77  | 13      19   | 7      9      22   | 619      610      1185 | 7,0     9,0     1343,0 | 13       23   |
 78  | 24      21   | 0      13     19   | 619      623      1204 | 0,0     13,0    1356,0 | 24       25   |
 79  | 16      11   | 12     12     21   | 631      635      1225 | 14,0    12,0    1382,0 | 16       15   |
 80  | 6       8    | 12     4      9    | 643      639      1234 | 14,0    4,0     1400,0 | 6        14   |
 81  | 5       8    | 0      6      11   | 643      645      1245 | 0,0     6,0     1406,0 | 5        11   |
 82  | 17      21   | 0      5      7    | 643      650      1252 | 0,0     5,0     1411,0 | 17       25   |
 83  | 16      22   | 10     7      14   | 653      657      1266 | 10,0    7,0     1428,0 | 16       33   |
 84  | 20      16   | 0      16     27   | 653      673      1293 | 0,0     16,0    1444,0 | 20       22   |
 85  | 13      25   | 11     9      14   | 664      682      1307 | 12,0    9,0     1465,0 | 13       33   |
 86  | 17      26   | 0      13     24   | 664      695      1331 | 0,0     13,0    1478,0 | 17       35   |
 87  | 25      17   | 6      11     26   | 670      706      1357 | 6,0     11,0    1495,0 | 25       26   |
 88  | 4       10   | 17     8      20   | 687      714      1377 | 24,0    8,0     1527,0 | 4        16   |
 89  | 21      25   | 0      4      9    | 687      718      1386 | 0,0     4,0     1531,0 | 21       32   |
 90  | 20      16   | 5      16     24   | 692      734      1410 | 5,0     16,0    1552,0 | 20       24   |
 91  | 14      13   | 12     8      16   | 704      742      1426 | 14,0    8,0     1574,0 | 14       21   |
 92  | 7       3    | 7      7      16   | 711      749      1442 | 7,0     7,0     1588,0 | 7        8    |
 93  | 11      15   | 3      4      5    | 714      753      1447 | 3,0     4,0     1595,0 | 11       18   |
 94  | 6       7    | 6      5      16   | 720      758      1463 | 6,0     5,0     1606,0 | 6        9    |
 95  | 17      20   | 5      1      6    | 725      759      1469 | 5,0     1,0     1612,0 | 17       23   |
 96  | 13      11   | 6      11     19   | 731      770      1488 | 6,0     11,0    1629,0 | 13       15   |
 97  | 9       6    | 6      7      15   | 737      777      1503 | 6,0     7,0     1642,0 | 9        6    |
 98  | 12      10   | 6      3      5    | 743      780      1508 | 6,0     3,0     1651,0 | 12       11   |
 99  | 7       9    | 9      3      9    | 752      783      1517 | 9,0     3,0     1663,0 | 7        11   |
 100 | 5       11   | 3      4      8    | 755      787      1525 | 3,0     4,0     1670,0 | 5        14   |
 101 | 15      18   | 2      3      11   | 757      790      1536 | 2,0     3,0     1675,0 | 15       21   |
 102 | 9       15   | 8      7      16   | 765      797      1552 | 8,0     7,0     1690,0 | 9        20   |
 103 | 10      8    | 2      7      15   | 767      804      1567 | 2,0     7,0     1699,0 | 10       13   |
 104 | 5       7    | 6      4      11   | 773      808      1578 | 6,0     4,0     1709,0 | 5        9    |
 105 | 7       8    | 2      3      8    | 775      811      1586 | 2,0     3,0     1714,0 | 7        9    |
 106 | 13      12   | 2      5      8    | 777      816      1594 | 2,0     5,0     1721,0 | 13       13   |
 107 | 6       5    | 7      6      10   | 784      822      1604 | 7,0     6,0     1734,0 | 6        8    |
 108 | 10      8    | 6      0      6    | 790      822      1610 | 6,0     0,0     1740,0 | 10       10   |
 109 | 16      14   | 7      3      8    | 797      825      1618 | 7,0     3,0     1750,0 | 16       16   |
 110 | 21      18   | 10     6      12   | 807      831      1630 | 10,0    6,0     1766,0 | 21       22   |
 111 | 10      13   | 10     11     17   | 817      842      1647 | 10,0    11,0    1787,0 | 10       18   |
 112 | 26      16   | 2      8      11   | 819      850      1658 | 2,0     8,0     1797,0 | 26       23   |
 113 | 11      7    | 20     6      17   | 839      856      1675 | 30,0    6,0     1833,0 | 11       13   |
 114 | 21      13   | 6      5      12   | 845      861      1687 | 6,0     5,0     1844,0 | 21       14   |
 115 | 16      26   | 17     4      11   | 862      865      1698 | 24,0    4,0     1872,0 | 16       29   |
 116 | 5       7    | 4      12     21   | 866      877      1719 | 4,0     12,0    1888,0 | 5        15   |
 117 | 7       3    | 1      4      12   | 867      881      1731 | 1,0     4,0     1893,0 | 7        6    |
 118 | 14      24   | 4      3      4    | 871      884      1735 | 4,0     3,0     1900,0 | 14       26   |
 119 | 11      7    | 0      14     22   | 871      898      1757 | 0,0     14,0    1914,0 | 11       11   |
 120 | 4       6    | 5      6      8    | 876      904      1765 | 5,0     6,0     1925,0 | 4        9    |
--------------------
Compensation: 1.0€
OC probability: 50%

Total cost: (1945,0 ; 1949,7)

Maximum number of packages stored: (59 ; 59)

------------------------------------------------------------------------------------------------------------
Test id: 4
Note: This are the results from a SINGLE observation using the following values
Compensation: 1.5€
OC probability: 60%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 t   | home    lckr | pf     oc     lckr | pf       oc       lckr | pf       oc        ACC | home     lckr |
------------------------------------------------------------------------------------------------------------
 1   | 12      6    | 0      0      0    | 0        0        0    | 0,0     0,0        0,0 | 12       6    |
 2   | 20      26   | 8      4      4    | 8        4        4    | 8,0     6,0       14,0 | 20       28   |
 3   | 10      19   | 3      17     22   | 11       21       26   | 3,0     25,5      42,5 | 10       25   |
 4   | 24      15   | 0      10     19   | 11       31       45   | 0,0     15,0      57,5 | 24       21   |
 5   | 10      10   | 9      15     20   | 20       46       65   | 9,0     22,5      89,0 | 10       11   |
 6   | 25      16   | 5      5      7    | 25       51       72   | 5,0     7,5      101,5 | 25       20   |
 7   | 5       7    | 16     9      14   | 41       60       86   | 22,0    13,5     137,0 | 5        13   |
 8   | 12      13   | 0      5      9    | 41       65       95   | 0,0     7,5      144,5 | 12       17   |
 9   | 9       15   | 8      4      10   | 49       69       105  | 8,0     6,0      158,5 | 9        22   |
 10  | 5       8    | 0      9      18   | 49       78       123  | 0,0     13,5     172,0 | 5        12   |
 11  | 8       8    | 0      5      9    | 49       83       132  | 0,0     7,5      179,5 | 8        11   |
 12  | 13      21   | 4      4      7    | 53       87       139  | 4,0     6,0      189,5 | 13       25   |
 13  | 23      14   | 5      8      16   | 58       95       155  | 5,0     12,0     206,5 | 23       23   |
 14  | 19      15   | 16     7      14   | 74       102      169  | 22,0    10,5     239,0 | 19       24   |
 15  | 14      20   | 3      16     21   | 77       118      190  | 3,0     24,0     266,0 | 14       23   |
 16  | 17      19   | 6      8      17   | 83       126      207  | 6,0     12,0     284,0 | 17       25   |
 17  | 14      12   | 8      9      18   | 91       135      225  | 8,0     13,5     305,5 | 14       19   |
 18  | 9       15   | 6      8      13   | 97       143      238  | 6,0     12,0     323,5 | 9        21   |
 19  | 8       7    | 0      9      19   | 97       152      257  | 0,0     13,5     337,0 | 8        9    |
 20  | 7       4    | 4      4      7    | 101      156      264  | 4,0     6,0      347,0 | 7        6    |
 21  | 14      18   | 5      2      3    | 106      158      267  | 5,0     3,0      355,0 | 14       21   |
 22  | 13      10   | 6      8      16   | 112      166      283  | 6,0     12,0     373,0 | 13       15   |
 23  | 9       5    | 9      4      8    | 121      170      291  | 9,0     6,0      388,0 | 9        12   |
 24  | 14      15   | 5      4      8    | 126      174      299  | 5,0     6,0      399,0 | 14       19   |
 25  | 16      12   | 1      13     15   | 127      187      314  | 1,0     19,5     419,5 | 16       16   |
 26  | 7       5    | 4      12     16   | 131      199      330  | 4,0     18,0     441,5 | 7        5    |
 27  | 10      7    | 6      1      2    | 137      200      332  | 6,0     1,5      449,0 | 10       10   |
 28  | 16      20   | 5      5      8    | 142      205      340  | 5,0     7,5      461,5 | 16       22   |
 29  | 21      28   | 8      8      16   | 150      213      356  | 8,0     12,0     481,5 | 21       34   |
 30  | 7       6    | 1      20     28   | 151      233      384  | 1,0     30,0     512,5 | 7        12   |
 31  | 9       13   | 1      6      7    | 152      239      391  | 1,0     9,0      522,5 | 9        18   |
 32  | 15      23   | 0      9      15   | 152      248      406  | 0,0     13,5     536,0 | 15       26   |
 33  | 9       12   | 4      11     19   | 156      259      425  | 4,0     16,5     556,5 | 9        19   |
 34  | 19      28   | 0      9      16   | 156      268      441  | 0,0     13,5     570,0 | 19       31   |
 35  | 17      14   | 7      12     23   | 163      280      464  | 7,0     18,0     595,0 | 17       22   |
 36  | 20      17   | 9      8      13   | 172      288      477  | 9,0     12,0     616,0 | 20       26   |
 37  | 27      22   | 11     9      20   | 183      297      497  | 12,0    13,5     641,5 | 27       28   |
 38  | 23      24   | 16     11     20   | 199      308      517  | 22,0    16,5     680,0 | 23       32   |
 39  | 18      13   | 11     12     22   | 210      320      539  | 12,0    18,0     710,0 | 18       23   |
 40  | 11      8    | 5      13     22   | 215      333      561  | 5,0     19,5     734,5 | 11       9    |
 41  | 14      7    | 8      3      9    | 223      336      570  | 8,0     4,5      747,0 | 14       7    |
 42  | 26      18   | 12     2      3    | 235      338      573  | 14,0    3,0      764,0 | 26       22   |
 43  | 23      15   | 14     12     19   | 249      350      592  | 18,0    18,0     800,0 | 23       18   |
 44  | 6       10   | 15     8      14   | 264      358      606  | 20,0    12,0     832,0 | 6        14   |
 45  | 12      17   | 0      6      10   | 264      364      616  | 0,0     9,0      841,0 | 12       21   |
 46  | 21      25   | 2      10     14   | 266      374      630  | 2,0     15,0     858,0 | 21       32   |
 47  | 11      7    | 8      13     22   | 274      387      652  | 8,0     19,5     885,5 | 11       17   |
 48  | 16      17   | 2      9      14   | 276      396      666  | 2,0     13,5     901,0 | 16       20   |
 49  | 14      18   | 4      12     15   | 280      408      681  | 4,0     18,0     923,0 | 14       23   |
 50  | 11      12   | 0      14     18   | 280      422      699  | 0,0     21,0     944,0 | 11       17   |
 51  | 22      26   | 5      6      13   | 285      428      712  | 5,0     9,0      958,0 | 22       30   |
 52  | 19      21   | 8      14     23   | 293      442      735  | 8,0     21,0     987,0 | 19       28   |
 53  | 14      13   | 1      18     20   | 294      460      755  | 1,0     27,0    1015,0 | 14       21   |
 54  | 7       8    | 4      10     17   | 298      470      772  | 4,0     15,0    1034,0 | 7        12   |
 55  | 14      18   | 0      7      11   | 298      477      783  | 0,0     10,5    1044,5 | 14       19   |
 56  | 8       26   | 6      8      14   | 304      485      797  | 6,0     12,0    1062,5 | 8        31   |
 57  | 13      9    | 0      8      26   | 304      493      823  | 0,0     12,0    1074,5 | 13       14   |
 58  | 24      24   | 4      9      13   | 308      502      836  | 4,0     13,5    1092,0 | 24       25   |
 59  | 19      19   | 14     10     20   | 322      512      856  | 18,0    15,0    1125,0 | 19       24   |
 60  | 18      12   | 8      11     21   | 330      523      877  | 8,0     16,5    1149,5 | 18       15   |
 61  | 6       14   | 11     7      10   | 341      530      887  | 12,0    10,5    1172,0 | 6        19   |
 62  | 18      24   | 0      6      15   | 341      536      902  | 0,0     9,0     1181,0 | 18       28   |
 63  | 5       9    | 6      12     22   | 347      548      924  | 6,0     18,0    1205,0 | 5        15   |
 64  | 13      14   | 0      5      12   | 347      553      936  | 0,0     7,5     1212,5 | 13       17   |
 65  | 14      12   | 7      6      12   | 354      559      948  | 7,0     9,0     1228,5 | 14       17   |
 66  | 15      12   | 7      7      12   | 361      566      960  | 7,0     10,5    1246,0 | 15       17   |
 67  | 6       13   | 5      10     14   | 366      576      974  | 5,0     15,0    1266,0 | 6        16   |
 68  | 15      16   | 0      6      13   | 366      582      987  | 0,0     9,0     1275,0 | 15       19   |
 69  | 5       5    | 8      7      13   | 374      589      1000 | 8,0     10,5    1293,5 | 5        11   |
 70  | 7       4    | 0      5      10   | 374      594      1010 | 0,0     7,5     1301,0 | 7        5    |
 71  | 8       5    | 6      1      3    | 380      595      1013 | 6,0     1,5     1308,5 | 8        7    |
 72  | 19      24   | 2      6      7    | 382      601      1020 | 2,0     9,0     1319,5 | 19       24   |
 73  | 8       11   | 6      13     18   | 388      614      1038 | 6,0     19,5    1345,0 | 8        17   |
 74  | 6       9    | 3      5      14   | 391      619      1052 | 3,0     7,5     1355,5 | 6        12   |
 75  | 27      23   | 1      5      8    | 392      624      1060 | 1,0     7,5     1364,0 | 27       27   |
 76  | 33      14   | 15     12     21   | 407      636      1081 | 20,0    18,0    1402,0 | 33       20   |
 77  | 24      21   | 25     8      12   | 432      644      1093 | 40,0    12,0    1454,0 | 24       29   |
 78  | 10      11   | 12     12     22   | 444      656      1115 | 14,0    18,0    1486,0 | 10       18   |
 79  | 13      14   | 1      9      14   | 445      665      1129 | 1,0     13,5    1500,5 | 13       18   |
 80  | 9       12   | 7      6      12   | 452      671      1141 | 7,0     9,0     1516,5 | 9        18   |
 81  | 29      21   | 3      6      15   | 455      677      1156 | 3,0     9,0     1528,5 | 29       24   |
 82  | 22      16   | 16     13     18   | 471      690      1174 | 22,0    19,5    1570,0 | 22       22   |
 83  | 23      13   | 13     9      16   | 484      699      1190 | 16,0    13,5    1599,5 | 23       19   |
 84  | 21      25   | 8      15     16   | 492      714      1206 | 8,0     22,5    1630,0 | 21       28   |
 85  | 9       12   | 11     10     17   | 503      724      1223 | 12,0    15,0    1657,0 | 9        23   |
 86  | 20      13   | 0      9      18   | 503      733      1241 | 0,0     13,5    1670,5 | 20       18   |
 87  | 25      19   | 10     10     13   | 513      743      1254 | 10,0    15,0    1695,5 | 25       24   |
 88  | 18      21   | 17     8      18   | 530      751      1272 | 24,0    12,0    1731,5 | 18       27   |
 89  | 22      15   | 9      9      17   | 539      760      1289 | 9,0     13,5    1754,0 | 22       25   |
 90  | 17      16   | 10     12     18   | 549      772      1307 | 10,0    18,0    1782,0 | 17       23   |
 91  | 13      20   | 5      12     18   | 554      784      1325 | 5,0     18,0    1805,0 | 13       25   |
 92  | 12      16   | 2      11     18   | 556      795      1343 | 2,0     16,5    1823,5 | 12       23   |
 93  | 8       20   | 2      10     15   | 558      805      1358 | 2,0     15,0    1840,5 | 8        28   |
 94  | 4       6    | 0      8      21   | 558      813      1379 | 0,0     12,0    1852,5 | 4        13   |
 95  | 18      20   | 0      4      9    | 558      817      1388 | 0,0     6,0     1858,5 | 18       24   |
 96  | 14      21   | 5      13     20   | 563      830      1408 | 5,0     19,5    1883,0 | 14       25   |
 97  | 7       14   | 7      7      17   | 570      837      1425 | 7,0     10,5    1900,5 | 7        22   |
 98  | 14      12   | 0      7      18   | 570      844      1443 | 0,0     10,5    1911,0 | 14       16   |
 99  | 7       16   | 6      8      15   | 576      852      1458 | 6,0     12,0    1929,0 | 7        17   |
 100 | 17      17   | 1      6      14   | 577      858      1472 | 1,0     9,0     1939,0 | 17       20   |
 101 | 24      26   | 10     7      14   | 587      865      1486 | 10,0    10,5    1959,5 | 24       32   |
 102 | 13      12   | 3      21     28   | 590      886      1514 | 3,0     31,5    1994,0 | 13       16   |
 103 | 9       6    | 7      6      13   | 597      892      1527 | 7,0     9,0     2010,0 | 9        9    |
 104 | 24      20   | 3      6      8    | 600      898      1535 | 3,0     9,0     2022,0 | 24       21   |
 105 | 10      3    | 13     11     17   | 613      909      1552 | 16,0    16,5    2054,5 | 10       7    |
 106 | 28      20   | 6      4      6    | 619      913      1558 | 6,0     6,0     2066,5 | 28       21   |
 107 | 6       11   | 16     12     20   | 635      925      1578 | 22,0    18,0    2106,5 | 6        12   |
 108 | 4       8    | 3      3      11   | 638      928      1589 | 3,0     4,5     2114,0 | 4        9    |
 109 | 16      21   | 0      4      6    | 638      932      1595 | 0,0     6,0     2120,0 | 16       24   |
 110 | 22      20   | 2      14     20   | 640      946      1615 | 2,0     21,0    2143,0 | 22       24   |
 111 | 20      21   | 14     8      15   | 654      954      1630 | 18,0    12,0    2173,0 | 20       30   |
 112 | 21      19   | 9      11     21   | 663      965      1651 | 9,0     16,5    2198,5 | 21       28   |
 113 | 14      4    | 10     11     21   | 673      976      1672 | 10,0    16,5    2225,0 | 14       11   |
 114 | 7       13   | 10     4      7    | 683      980      1679 | 10,0    6,0     2241,0 | 7        17   |
 115 | 18      16   | 0      7      9    | 683      987      1688 | 0,0     10,5    2251,5 | 18       24   |
 116 | 22      25   | 3      15     22   | 686      1002     1710 | 3,0     22,5    2277,0 | 22       27   |
 117 | 9       21   | 7      15     20   | 693      1017     1730 | 7,0     22,5    2306,5 | 9        28   |
 118 | 18      20   | 0      9      18   | 693      1026     1748 | 0,0     13,5    2320,0 | 18       30   |
 119 | 22      16   | 1      17     25   | 694      1043     1773 | 1,0     25,5    2346,5 | 22       21   |
 120 | 15      4    | 8      14     18   | 702      1057     1791 | 8,0     21,0    2375,5 | 15       7    |
--------------------
Compensation: 1.5€
OC probability: 60%

Total cost: (2405,8 ; 2411,0)

Maximum number of packages stored: (59 ; 59)

------------------------------------------------------------------------------------------------------------
Test id: 5
Note: This are the results from a SINGLE observation using the following values
Compensation: 1.8€
OC probability: 75%


 DAY | NEW PACKAGES |     DELIVERIES     | ACCUMULATED DELIVERIES |         COSTS          | LOCKER STATUS |
 t   | home    lckr | pf     oc     lckr | pf       oc       lckr | pf       oc        ACC | home     lckr |
------------------------------------------------------------------------------------------------------------
 1   | 5       5    | 0      0      0    | 0        0        0    | 0,0     0,0        0,0 | 5        5    |
 2   | 25      22   | 3      2      3    | 3        2        3    | 3,0     3,6        6,6 | 25       24   |
 3   | 17      19   | 9      16     20   | 12       18       23   | 9,0     28,8      44,4 | 17       23   |
 4   | 11      17   | 2      15     17   | 14       33       40   | 2,0     27,0      73,4 | 11       23   |
 5   | 15      21   | 0      11     18   | 14       44       58   | 0,0     19,8      93,2 | 15       26   |
 6   | 22      19   | 0      15     21   | 14       59       79   | 0,0     27,0     120,2 | 22       24   |
 7   | 22      23   | 9      13     18   | 23       72       97   | 9,0     23,4     152,6 | 22       29   |
 8   | 20      21   | 3      19     24   | 26       91       121  | 3,0     34,2     189,8 | 20       26   |
 9   | 11      18   | 7      13     21   | 33       104      142  | 7,0     23,4     220,2 | 11       23   |
 10  | 4       11   | 0      11     16   | 33       115      158  | 0,0     19,8     240,0 | 4        18   |
 11  | 9       3    | 0      4      15   | 33       119      173  | 0,0     7,2      247,2 | 9        6    |
 12  | 28      17   | 7      2      4    | 40       121      177  | 7,0     3,6      257,8 | 28       19   |
 13  | 21      19   | 20     8      12   | 60       129      189  | 30,0    14,4     302,2 | 21       26   |
 14  | 9       12   | 8      13     18   | 68       142      207  | 8,0     23,4     333,6 | 9        20   |
 15  | 19      14   | 0      9      17   | 68       151      224  | 0,0     16,2     349,8 | 19       17   |
 16  | 19      16   | 8      11     12   | 76       162      236  | 8,0     19,8     377,6 | 19       21   |
 17  | 22      28   | 9      10     12   | 85       172      248  | 9,0     18,0     404,6 | 22       37   |
 18  | 19      17   | 4      18     25   | 89       190      273  | 4,0     32,4     441,0 | 19       29   |
 19  | 12      14   | 0      19     27   | 89       209      300  | 0,0     34,2     475,2 | 12       16   |
 20  | 18      9    | 5      7      10   | 94       216      310  | 5,0     12,6     492,8 | 18       15   |
 21  | 14      18   | 13     5      9    | 107      221      319  | 16,0    9,0      517,8 | 14       24   |
 22  | 10      12   | 0      14     15   | 107      235      334  | 0,0     25,2     543,0 | 10       21   |
 23  | 14      6    | 0      10     19   | 107      245      353  | 0,0     18,0     561,0 | 14       8    |
 24  | 18      19   | 11     3      6    | 118      248      359  | 12,0    5,4      578,4 | 18       21   |
 25  | 10      13   | 12     6      11   | 130      254      370  | 14,0    10,8     603,2 | 10       23   |
 26  | 11      13   | 0      10     19   | 130      264      389  | 0,0     18,0     621,2 | 11       17   |
 27  | 8       10   | 5      6      9    | 135      270      398  | 5,0     10,8     637,0 | 8        18   |
 28  | 15      19   | 1      7      13   | 136      277      411  | 1,0     12,6     650,6 | 15       24   |
 29  | 19      21   | 2      13     17   | 138      290      428  | 2,0     23,4     676,0 | 19       28   |
 30  | 10      7    | 4      15     22   | 142      305      450  | 4,0     27,0     707,0 | 10       13   |
 31  | 14      26   | 0      10     12   | 142      315      462  | 0,0     18,0     725,0 | 14       27   |
 32  | 21      18   | 0      14     22   | 142      329      484  | 0,0     25,2     750,2 | 21       23   |
 33  | 4       6    | 9      12     15   | 151      341      499  | 9,0     21,6     780,8 | 4        14   |
 34  | 15      13   | 0      4      12   | 151      345      511  | 0,0     7,2      788,0 | 15       15   |
 35  | 16      13   | 6      9      10   | 157      354      521  | 6,0     16,2     810,2 | 16       18   |
 36  | 17      22   | 5      11     12   | 162      365      533  | 5,0     19,8     835,0 | 17       28   |
 37  | 26      19   | 3      14     21   | 165      379      554  | 3,0     25,2     863,2 | 26       26   |
 38  | 9       11   | 9      17     20   | 174      396      574  | 9,0     30,6     902,8 | 9        17   |
 39  | 16      12   | 0      9      14   | 174      405      588  | 0,0     16,2     919,0 | 16       15   |
 40  | 15      22   | 8      8      11   | 182      413      599  | 8,0     14,4     941,4 | 15       26   |
 41  | 19      14   | 0      15     16   | 182      428      615  | 0,0     27,0     968,4 | 19       24   |
 42  | 20      15   | 3      16     23   | 185      444      638  | 3,0     28,8    1000,2 | 20       16   |
 43  | 12      7    | 10     10     15   | 195      454      653  | 10,0    18,0    1028,2 | 12       8    |
 44  | 17      17   | 7      5      7    | 202      459      660  | 7,0     9,0     1044,2 | 17       18   |
 45  | 14      17   | 3      14     14   | 205      473      674  | 3,0     25,2    1072,4 | 14       21   |
 46  | 19      21   | 0      14     20   | 205      487      694  | 0,0     25,2    1097,6 | 19       22   |
 47  | 17      20   | 4      15     18   | 209      502      712  | 4,0     27,0    1128,6 | 17       24   |
 48  | 12      12   | 4      13     15   | 213      515      727  | 4,0     23,4    1156,0 | 12       21   |
 49  | 18      20   | 0      12     16   | 213      527      743  | 0,0     21,6    1177,6 | 18       25   |
 50  | 30      12   | 3      15     18   | 216      542      761  | 3,0     27,0    1207,6 | 30       19   |
 51  | 9       10   | 21     9      12   | 237      551      773  | 32,0    16,2    1255,8 | 9        17   |
 52  | 3       10   | 0      9      16   | 237      560      789  | 0,0     16,2    1272,0 | 3        11   |
 53  | 4       9    | 0      3      9    | 237      563      798  | 0,0     5,4     1277,4 | 4        11   |
 54  | 16      12   | 0      4      8    | 237      567      806  | 0,0     7,2     1284,6 | 16       15   |
 55  | 17      31   | 9      7      10   | 246      574      816  | 9,0     12,6    1306,2 | 17       36   |
 56  | 14      18   | 0      17     28   | 246      591      844  | 0,0     30,6    1336,8 | 14       26   |
 57  | 22      27   | 0      14     20   | 246      605      864  | 0,0     25,2    1362,0 | 22       33   |
 58  | 14      24   | 1      21     27   | 247      626      891  | 1,0     37,8    1400,8 | 14       30   |
 59  | 17      16   | 0      14     22   | 247      640      913  | 0,0     25,2    1426,0 | 17       24   |
 60  | 23      24   | 5      12     20   | 252      652      933  | 5,0     21,6    1452,6 | 23       28   |
 61  | 13      7    | 6      17     19   | 258      669      952  | 6,0     30,6    1489,2 | 13       16   |
 62  | 20      17   | 5      8      12   | 263      677      964  | 5,0     14,4    1508,6 | 20       21   |
 63  | 3       9    | 7      13     15   | 270      690      979  | 7,0     23,4    1539,0 | 3        15   |
 64  | 16      23   | 0      3      12   | 270      693      991  | 0,0     5,4     1544,4 | 16       26   |
 65  | 19      13   | 5      11     22   | 275      704      1013 | 5,0     19,8    1569,2 | 19       17   |
 66  | 26      24   | 12     7      12   | 287      711      1025 | 14,0    12,6    1595,8 | 26       29   |
 67  | 4       7    | 7      19     23   | 294      730      1048 | 7,0     34,2    1637,0 | 4        13   |
 68  | 7       8    | 0      4      12   | 294      734      1060 | 0,0     7,2     1644,2 | 7        9    |
 69  | 6       5    | 0      7      8    | 294      741      1068 | 0,0     12,6    1656,8 | 6        6    |
 70  | 19      23   | 4      2      3    | 298      743      1071 | 4,0     3,6     1664,4 | 19       26   |
